2022-11-25 01:28:42.921:   [Send] UPDATE - false
2022-11-25 01:29:44.105:   [Send] UPDATE - true
2022-11-25 01:30:53.985:   [Send] UPDATE - true
2022-11-25 01:32:36.304:   [Send] UPDATE - true
2022-11-25 04:03:10.074:   [Send] UPDATE - true
2022-11-25 04:03:48.162:   [Send] UPDATE - true
2022-11-25 04:04:27.674:   [Send] UPDATE - true
2022-11-25 04:07:32.498:   [Send] UPDATE - true
2022-11-25 04:07:44.754:   [Send] UPDATE - true
2022-11-25 04:08:46.926:   [Send] UPDATE - true
2022-11-25 04:09:17.738:   [Send] UPDATE - true
2022-11-25 04:10:04.042:   [Send] UPDATE - true
2022-11-25 04:13:34.396:   [Send] UPDATE - true
2022-11-25 04:26:21.200:   [Send] UPDATE - true
2022-11-25 04:26:21.823:   [Send] UPDATE - true
2022-11-25 04:28:19.496:   [Send] UPDATE - true
2022-11-25 04:30:51.344:   [Send] UPDATE - true
2022-11-25 06:07:46.932:   [Send] UPDATE - true
2022-11-25 06:10:09.246:   [Send] UPDATE - true
2022-11-25 06:13:51.022:   [Send] UPDATE - true
2022-11-25 06:15:31.294:   [Send] UPDATE - true
2022-11-25 06:18:21.557:   [Send] UPDATE_PROGRAM - true
2022-11-25 06:18:35.132:   [Send] UPDATE_PROGRAM - true
2022-11-25 06:18:42.581:   [Send] UPDATE - true
2022-11-25 06:34:41.396:   [Send] UPDATE - true
2022-11-25 06:35:52.444:   [Send] UPDATE - true
2022-11-25 06:38:52.194:   [Send] UPDATE - true
2022-11-25 06:39:44.067:   [Send] UPDATE - true
2022-11-25 06:40:57.387:   [Send] UPDATE - true
2022-11-25 06:46:00.147:   [Send] UPDATE - true
2022-11-25 06:47:13.275:   [Send] UPDATE - true
2022-11-25 06:48:36.827:   [Send] UPDATE - true
2022-11-25 06:51:02.035:   [Send] UPDATE - true
2022-11-25 06:52:53.521:   [Send] UPDATE - true
2022-11-25 06:53:15.098:   [Send] UPDATE - true
2022-11-25 07:22:30.695:   [Send] UPDATE - true
2022-11-25 07:22:46.759:   [Send] UPDATE - true
2022-11-25 07:32:11.950:   [Send] UPDATE - true
